Altium Designer Pick and Place Locations
C:\Users\Vadim\Documents\project\chiptune_player_2.22\ChiptunePlayer-2.22-MainBoard\v1.0\Altium\Fabrication\Documentation\Generates pick and place files.txt

========================================================================================================================
File Design Information:

Date:       20.05.18
Time:       15:26
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

Designator Comment                    Layer       Footprint        Center-X(mm) Center-Y(mm) Rotation Description                                                          
ZQ1        NX3225SA-16.000M-STD-CRS-2 BottomLayer NX3225SA         17.8750      44.7500      270      "QUARTZ CRYSTAL"                                                     
XP8        PLS-2                      TopLayer    PLS-2            27.3300      1.6000       180      "PLS connector"                                                      
XP6        PLD-4                      TopLayer    PLD-4            23.6250      20.9250      180      "PLD connector"                                                      
XP5        PLS-3                      TopLayer    PLS-3            31.3000      25.7750      360      "PLS connector"                                                      
XP4        PLS-2                      TopLayer    PLS-2            21.1500      4.2700       90       "PLS connector"                                                      
XP3        PLS-3                      TopLayer    PLS-3            31.3000      21.9000      360      "PLS connector"                                                      
XP2        PLS-2                      TopLayer    PLS-2            3.0050       9.5000       360      "PLS connector"                                                      
XP1        PLS-2                      TopLayer    PLS-2            7.5500       23.4750      180      "PLS connector"                                                      
VT12       BC817                      TopLayer    SOT-23           28.3800      14.1500      90       "NPN general-purpose transistor"                                     
VT11       BC817                      BottomLayer SOT-23           39.6000      22.9250      360      "NPN general-purpose transistor"                                     
VT10       2N7002                     BottomLayer SOT-23           38.0750      6.3750       180      "60 V, 300 mA N-channel Trench MOSFET"                               
VT9        2N7002                     BottomLayer SOT-23           49.4750      36.5750      270      "60 V, 300 mA N-channel Trench MOSFET"                               
VT8        BC817                      TopLayer    SOT-23           17.6500      5.5750       90       "NPN general-purpose transistor"                                     
VT7        BC817                      BottomLayer SOT-23           8.1250       13.5750      360      "NPN general-purpose transistor"                                     
VT5        IRLML6402                  BottomLayer SOT-23           10.0250      9.7500       90       ""                                                                   
VT4        BC817                      BottomLayer SOT-23           12.6750      20.6750      360      "NPN general-purpose transistor"                                     
VT3        IRLML6402                  TopLayer    SOT-23           8.3500       17.9250      360      ""                                                                   
VT2        BC817                      BottomLayer SOT-23           4.4250       18.4250      270      "NPN general-purpose transistor"                                     
VT1        IRLML6402                  TopLayer    SOT-23           1.8250       21.2250      90       ""                                                                   
U1         HMHAA280                   TopLayer    MFP-4L           28.6300      7.6500       90       "AC Input Half Pitch Mini-Flat Package 4-pin Optocoupler"            
R67        "10 ÍŒÏ"                   BottomLayer RES_0805         4.4750       21.5250      180      ""                                                                   
R66        "10 ÍŒÏ"                   TopLayer    RES_0805         25.9750      10.2500      270      ""                                                                   
